Combination,Factor
"('root vegetables', 'other vegetables')",0.016655968
"('other vegetables', 'whole milk')",0.013471823
"('root vegetables', 'whole milk')",0.011959326
"('whole milk', 'yogurt')",0.011002037
"('other vegetables', 'whipped/sour cream')",0.009196137
"('other vegetables', 'yogurt')",0.008961544
"('tropical fruit', 'other vegetables')",0.008880833
"('tropical fruit', 'yogurt')",0.008818131
"('beef', 'root vegetables')",0.008396578
"('tropical fruit', 'pip fruit')",0.008393927
"('tropical fruit', 'whole milk')",0.008374797
"('whole milk', 'domestic eggs')",0.008015221
"('whole milk', 'butter')",0.007967556
"('whole milk', 'whipped/sour cream')",0.007911367
"('sausage', 'rolls/buns')",0.007597085
"('whole milk', 'curd')",0.00739992
"('citrus fruit', 'other vegetables')",0.007393226
"('citrus fruit', 'tropical fruit')",0.007188852
"('pip fruit', 'other vegetables')",0.006577103
"('yogurt', 'whipped/sour cream')",0.006572415
"('curd', 'yogurt')",0.006335683
"('pork', 'other vegetables')",0.006240177
"('chicken', 'other vegetables')",0.005968714
"('root vegetables', 'yogurt')",0.005941539
"('citrus fruit', 'yogurt')",0.005916255
"('root vegetables', 'whipped/sour cream')",0.0058027
"('pip fruit', 'whole milk')",0.005787595
"('other vegetables', 'domestic eggs')",0.005758244
"('beef', 'other vegetables')",0.005690554
"('tropical fruit', 'root vegetables')",0.005574798
"('whole milk', 'pastry')",0.005490062
"('other vegetables', 'butter')",0.005436385
"('onions', 'other vegetables')",0.00534041
"('citrus fruit', 'root vegetables')",0.005174964
"('bottled water', 'soda')",0.005132769
"('whole milk', 'margarine')",0.005051271
"('yogurt', 'fruit/vegetable juice')",0.005020824
"('other vegetables', 'frozen vegetables')",0.005009119
"('citrus fruit', 'whole milk')",0.004852427
"('frankfurter', 'rolls/buns')",0.004772939
"('citrus fruit', 'pip fruit')",0.004758492
"('other vegetables', 'margarine')",0.004748213
"('sausage', 'other vegetables')",0.004605085
"('hamburger meat', 'other vegetables')",0.004595469
"('whole milk', 'brown bread')",0.004594692
"('curd', 'whipped/sour cream')",0.004588042
"('whole milk', 'rolls/buns')",0.004587307
"('pork', 'root vegetables')",0.004579316
"('root vegetables', 'domestic eggs')",0.004539155
"('whole milk', 'frozen vegetables')",0.004514924
"('yogurt', 'rolls/buns')",0.004361124
"('yogurt', 'cream cheese')",0.004350512
"('pip fruit', 'root vegetables')",0.004288948
"('root vegetables', 'butter')",0.004261141
"('beef', 'whole milk')",0.004251794
"('whole milk', 'fruit/vegetable juice')",0.00423605
"('pip fruit', 'yogurt')",0.004172063
"('sausage', 'soda')",0.004161204
"('butter', 'whipped/sour cream')",0.004150369
"('butter', 'yogurt')",0.004061375
"('root vegetables', 'frozen vegetables')",0.003994617
"('chicken', 'root vegetables')",0.003988983
"('yogurt', 'bottled water')",0.003982268
"('pork', 'whole milk')",0.003933427
"('bottled water', 'bottled beer')",0.003910875
"('soda', 'shopping bags')",0.003838581
"('other vegetables', 'curd')",0.00381287
"('berries', 'yogurt')",0.003784668
"('tropical fruit', 'bottled water')",0.003755409
"('other vegetables', 'fruit/vegetable juice')",0.003734552
"('tropical fruit', 'whipped/sour cream')",0.003656782
"('whole milk', 'sugar')",0.003617601
"('chicken', 'whole milk')",0.003611549
"('sausage', 'shopping bags')",0.003574794
"('bottled water', 'fruit/vegetable juice')",0.003570153
"('tropical fruit', 'fruit/vegetable juice')",0.003535378
"('hamburger meat', 'whole milk')",0.003529569
"('whole milk', 'newspapers')",0.003486319
"('whole milk', 'cream cheese')",0.003476078
"('other vegetables', 'cream cheese')",0.003467376
"('sausage', 'yogurt')",0.003440161
"('yogurt', 'margarine')",0.003432396
"('whole milk', 'white bread')",0.003431587
"('other vegetables', 'rolls/buns')",0.00332776
"('whole milk', 'napkins')",0.003325248
"('yogurt', 'frozen vegetables')",0.003311043
"('other vegetables', 'brown bread')",0.003242829
"('other vegetables', 'white bread')",0.003111369
"('citrus fruit', 'domestic eggs')",0.003065347
"('soda', 'fruit/vegetable juice')",0.003024075
"('yogurt', 'domestic eggs')",0.00300286
"('yogurt', 'brown bread')",0.002994285
"('rolls/buns', 'soda')",0.002967434
"('root vegetables', 'curd')",0.002966104
"('other vegetables', 'butter milk')",0.002930911
"('whole milk', 'bottled water')",0.002930446
"('citrus fruit', 'whipped/sour cream')",0.002865061
"('sausage', 'whole milk')",0.002847547
"('pastry', 'soda')",0.002788186
"('yogurt', 'napkins')",0.002785379
"('frankfurter', 'whole milk')",0.002762589
